Date,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
201401  ,-0.95  ,-4.42  ,-4.70  ,-2.89  ,-2.40  ,-5.10
201402   ,5.07   ,5.03   ,4.17   ,4.06   ,4.94   ,4.82
201403  ,-1.29   ,1.03   ,1.26   ,0.44   ,0.51   ,1.15
201404  ,-3.91  ,-1.54  ,-1.03  ,-1.06   ,0.20   ,2.05
201405   ,0.19   ,0.61  ,-0.34   ,1.72   ,2.24   ,2.25
201406   ,6.54   ,5.24   ,4.11   ,3.39   ,2.87   ,1.64
201407  ,-5.87  ,-5.56  ,-5.53  ,-2.15  ,-2.03  ,-0.85
201408   ,4.46   ,4.11   ,5.37   ,4.40   ,3.37   ,4.49
201409  ,-6.63  ,-6.59  ,-4.55  ,-2.18  ,-2.16  ,-1.83
201410   ,3.39   ,5.13   ,2.75   ,0.80   ,2.03   ,2.08
201411  ,-0.08  ,-0.44   ,0.42   ,2.02   ,1.23   ,4.06
201412   ,2.35   ,1.07   ,0.74   ,0.19   ,0.32  ,-1.57
201501  ,-5.00  ,-4.97  ,-3.96  ,-5.31  ,-3.47  ,-2.11
201502   ,7.07   ,6.69   ,6.44   ,7.41   ,5.56   ,5.94
201503   ,0.45   ,1.72   ,1.30  ,-1.18  ,-1.03  ,-2.03
201504  ,-0.39  ,-0.95  ,-1.23   ,1.96   ,0.72   ,1.53
201505   ,2.17   ,0.72   ,0.57   ,1.85   ,0.61   ,0.75
201506   ,0.41   ,1.03   ,0.24  ,-1.16  ,-2.21  ,-2.12
201507  ,-3.67  ,-3.73  ,-2.95   ,0.87   ,1.58   ,1.95
201508  ,-5.76  ,-4.71  ,-5.93  ,-6.33  ,-5.95  ,-5.81
201509  ,-6.16  ,-5.32  ,-5.88  ,-4.92  ,-2.79  ,-2.17
201510   ,5.27   ,6.17   ,6.09   ,7.75   ,8.19   ,7.16
201511   ,3.89   ,1.00   ,0.98   ,1.17   ,0.06  ,-0.09
201512  ,-4.96  ,-5.71  ,-5.93  ,-2.60  ,-1.63  ,-2.51
201601 ,-10.36  ,-6.22  ,-7.49  ,-8.27  ,-4.11  ,-5.24
201602   ,0.74   ,2.31   ,2.07  ,-1.25   ,0.00   ,1.21
201603   ,8.20   ,9.07   ,8.41   ,6.92   ,6.84   ,6.87
201604   ,5.18   ,2.72   ,1.68   ,2.83   ,1.28  ,-0.83
201605   ,0.96   ,0.57   ,1.01   ,1.46   ,1.52   ,1.48
201606   ,0.47   ,0.18  ,-0.78  ,-1.59   ,0.26   ,0.24
201607   ,5.93   ,4.44   ,6.73   ,3.37   ,3.57   ,4.24
201608   ,2.14   ,1.33   ,1.32   ,1.15   ,0.08   ,0.00
201609   ,2.93   ,0.95  ,-0.54   ,0.41  ,-0.20   ,0.58
201610  ,-6.12  ,-3.35  ,-3.90  ,-0.82  ,-1.34  ,-2.68
201611  ,10.20  ,10.18   ,8.72   ,7.41   ,2.44   ,3.67
