Date,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
200904  ,14.90  ,15.30  ,19.11  ,17.71  ,14.55  ,10.52
200905  ,13.46  ,13.33  ,14.37  ,11.49  ,12.90  ,13.27
200906  ,-0.59   ,0.02  ,-0.68  ,-2.75  ,-1.54  ,-2.09
200907   ,5.98   ,7.33   ,9.10  ,11.00  ,12.59   ,8.29
200908   ,8.87   ,9.13   ,8.14  ,10.38   ,6.22   ,1.64
200909   ,6.42   ,7.34   ,8.27   ,6.01   ,5.36   ,4.55
200910  ,-1.05  ,-0.99  ,-0.22  ,-5.05  ,-1.95  ,-0.13
200911  ,-0.49   ,1.79   ,1.93   ,0.50   ,4.10   ,3.97
200912  ,-1.91  ,-0.17  ,-0.29  ,-0.67   ,1.71   ,1.81
201001  ,-1.75  ,-1.24  ,-0.04  ,-6.64  ,-5.66  ,-5.34
201002  ,-3.33  ,-2.77  ,-2.56  ,-2.70  ,-1.63  ,-1.97
201003   ,4.95   ,6.75   ,7.02   ,8.16   ,5.70   ,6.34
201004  ,-0.70   ,1.39   ,2.74  ,-3.28  ,-1.70  ,-2.22
201005 ,-12.74 ,-12.43 ,-13.32 ,-13.68 ,-11.25 ,-11.73
201006  ,-1.28  ,-0.50  ,-1.59  ,-0.48  ,-0.04  ,-2.28
201007  ,10.84  ,10.44  ,10.96  ,16.07  ,11.20  ,10.26
201008  ,-5.10  ,-4.15  ,-3.49  ,-6.49  ,-3.97  ,-2.84
201009  ,12.27  ,12.28  ,12.62  ,12.00  ,11.91  ,10.67
201010   ,4.82   ,6.09   ,5.84   ,3.47   ,5.60   ,5.22
201011  ,-8.06  ,-6.28  ,-6.66  ,-9.31  ,-8.20  ,-7.18
201012  ,11.17  ,11.62   ,9.95   ,9.64   ,9.51   ,7.52
201101   ,4.80   ,3.34   ,3.11   ,6.83   ,2.77   ,2.50
201102   ,1.84   ,2.28   ,2.56   ,3.23   ,2.89   ,3.52
201103   ,0.78   ,2.32   ,1.92  ,-2.16  ,-0.02   ,0.61
201104   ,6.60   ,7.09   ,7.99   ,7.59   ,8.58   ,8.31
201105  ,-3.59  ,-2.75  ,-2.27  ,-4.75  ,-2.69  ,-2.34
201106  ,-3.38  ,-3.48  ,-2.48  ,-3.03  ,-1.34  ,-1.81
201107  ,-3.87  ,-2.82  ,-2.38  ,-4.90  ,-3.58  ,-1.93
201108 ,-10.28  ,-8.80  ,-8.75 ,-13.19 ,-10.57  ,-7.68
201109 ,-13.60 ,-12.79 ,-10.96 ,-12.08 ,-12.19 ,-10.20
201110   ,6.87   ,7.64   ,9.44  ,11.12  ,11.67  ,11.08
201111  ,-8.06  ,-7.14  ,-6.21  ,-6.95  ,-4.37  ,-3.32
201112  ,-3.46  ,-2.75  ,-3.09  ,-2.30  ,-2.19  ,-1.89
201201   ,8.53   ,8.09   ,8.11   ,8.23   ,4.79   ,4.51
201202   ,8.11   ,7.39   ,7.37   ,6.73   ,6.40   ,5.89
201203  ,-0.57   ,1.61   ,1.50  ,-0.50   ,0.53  ,-0.57
201204  ,-2.29  ,-0.95   ,0.00  ,-4.42  ,-2.51  ,-0.70
201205 ,-13.65 ,-11.59 ,-10.52 ,-13.69 ,-12.30 ,-11.55
201206   ,3.06   ,2.75   ,4.70   ,9.42   ,7.17   ,6.89
201207  ,-1.90  ,-0.39   ,0.24  ,-1.05   ,0.90   ,1.72
201208   ,5.00   ,4.46   ,4.81   ,7.09   ,3.89   ,3.54
201209   ,5.49   ,5.07   ,4.34   ,4.59   ,3.09   ,2.72
201210   ,1.11   ,1.52   ,1.13   ,2.92   ,1.98   ,0.64
