Date,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
201407   ,0.53   ,1.13   ,1.80  ,-0.61   ,1.10   ,1.22
201408   ,1.03   ,0.54   ,0.06  ,-2.36  ,-2.12  ,-2.39
201409  ,-2.63  ,-1.86  ,-2.72  ,-1.84   ,0.37  ,-1.75
201410  ,-4.48  ,-3.88  ,-5.30  ,-2.07  ,-2.57  ,-0.69
201411  ,-0.86  ,-3.17  ,-0.57   ,0.11   ,1.34  ,-1.38
201412   ,0.85   ,1.69   ,0.86  ,-0.88  ,-0.80  ,-1.42
201501   ,1.96   ,2.60   ,3.54   ,0.61   ,2.41   ,4.93
201502   ,2.11   ,1.58   ,1.98   ,7.83   ,5.67   ,4.68
201503   ,0.51   ,1.45   ,4.05   ,1.30   ,2.83   ,1.25
201504   ,3.20   ,2.85   ,2.40   ,5.62   ,2.64   ,3.30
201505  ,-0.32  ,-0.62   ,0.16   ,2.28   ,1.19  ,-0.09
201506   ,1.46   ,2.16   ,4.19  ,-1.16  ,-1.90   ,0.29
201507  ,-1.39   ,0.15   ,2.12   ,1.28  ,-0.26   ,2.45
201508  ,-3.21  ,-1.80  ,-4.76  ,-4.73  ,-5.88  ,-5.57
201509  ,-3.70  ,-3.54  ,-3.14  ,-6.88  ,-5.55  ,-7.47
201510   ,4.98   ,5.44   ,4.46   ,9.58   ,9.44  ,10.23
201511   ,1.17   ,1.76   ,2.94  ,-1.84   ,0.16  ,-0.12
201512   ,0.50   ,1.59   ,1.10  ,-0.14   ,0.22   ,0.84
201601  ,-7.16  ,-7.04  ,-6.97 ,-10.25  ,-8.57  ,-4.86
201602  ,-0.27  ,-0.72  ,-0.42  ,-2.77  ,-2.81  ,-0.80
201603   ,7.11   ,7.99   ,9.08   ,5.65   ,4.51   ,4.46
201604   ,5.57   ,4.24   ,3.49   ,6.06   ,5.15   ,4.83
201605  ,-0.77  ,-0.17  ,-0.32  ,-0.42  ,-1.24  ,-1.28
201606  ,-1.12  ,-0.35  ,-0.42  ,-4.72  ,-3.03  ,-1.03
201607   ,7.12   ,7.38   ,3.83   ,7.98   ,7.39   ,5.48
201608  ,-2.96  ,-2.66  ,-2.96  ,-0.33  ,-1.02  ,-1.41
201609   ,5.12   ,6.24   ,7.20   ,2.38   ,2.37   ,2.27
201610   ,2.33   ,2.80   ,2.03   ,1.51   ,2.19   ,0.97
201611  ,-4.03  ,-4.09  ,-5.71  ,-1.65  ,-3.99  ,-5.09
201612   ,1.97   ,1.52   ,2.46   ,1.12   ,1.08   ,1.60
201701   ,5.52   ,5.86   ,5.51   ,3.56   ,4.57   ,2.90
201702   ,3.64   ,3.48   ,3.80   ,1.92   ,0.77   ,0.22
201703   ,0.80   ,2.28   ,2.71  ,-0.19   ,0.99   ,1.36
201704  ,-0.25   ,0.70   ,0.03   ,1.32   ,1.52   ,1.47
201705   ,3.35   ,4.75   ,6.08   ,0.85   ,3.21   ,3.99
201706   ,2.95   ,2.80   ,2.01   ,2.91   ,1.05  ,-0.28
201707   ,3.85   ,4.38   ,3.96   ,0.67   ,3.19   ,2.53
201708   ,2.44   ,2.88   ,2.15  ,-0.64   ,0.32   ,0.69
